kata_tolaki,arti_indonesia,kalimat_tolaki,kalimat_indonesia
sambung,"lantai itu, posimbi menyambung",no babu ano pakei,dia menyambu baju lalu dipakainya
sina,kalau,- kiniwi ato leu hirot kalau sudah sore mereka data,
"sindiri, mosindiri",menyindir,ian uehe - toono,jangan suka m nyindir orang
sinua,hasil,- no luwuako nggo p wadano o hala,hasilnya semuan untuk pembayar utang
siru,sendok,aleikona - ngginaangs ambilkan sendok makanku!,
"sisipako, mbesisipako",menyikir,Je no sorodadu - no toono dad,
sodoike,menjolokkan,i keni no -,
posoki,penyumbat,hudaikee no,bukakan penyumbatnya
"oko, mesoko",berang,iee - sawatuu,ia sangat berang
mombesoko,memberang,ana motuono - kaa,"orang tuanya memberang saja; tesoko-sokoc«pemberang; - sawatua ana dalo nggiro'o, pemberang benar anak itu"
mokoso,bengis,oaso rada iwa- WOno -,seorang raja yang amat bengis
sumoko,io membengisi,iee noihei - kolele,ia suka membengisi binatang
plana,celana,opio dadiono - mu,berapa banyak celanamu?
"olara, esolara",terhambur,o tawa dadio - i,
"lara, tesolara",terhambur,o tawa dadio - i sala,banyak daun terhambur di jalan
pleo,semut,dadio - i keni,banyak semut di sini
"olo, tesolo",tertumpah,- ito iwoi ne embere,air di ember tertumpah
tesolo'i,tertumpah,- ninahuno,masakannya tertumpah
sumolonggee,menumpahkan,inaku - iwoi nggiro'o,saya yang menumpahkan air itu
sinolongako,ditumpahkan,o hawo - i kitu ine lomba,apa yang ditumpahkan di lubang situ?
"somba, sinomba",disembah,o'ombu -,Tuhan yang disembah
"opu, sumepu",menyepuh,inggo'o to'ori -,kamu pintar menyepuh
soro,dorong,iamo u - i keetea jangan kau dorong nanti terjepi mesoro bersambung,"mendoron - laikoro, urmah mereka bersar bung"
sorodadu,tentara,no tewali -,d menjadi tentara
"sosa, sosa'i",rusakkan,iamo - kasor mu,jangan rusakkan kasurmu
sumosai,dimarahi,anoki - ur kakano,nanti kamu dimarahi k kaknya
"sosaki, sumosaki",menyeberang,we langgu - aalaa,temanku meny berang sungai
"sosawa, mbesosawa",membujuk,r ari wanggui ano'amba -,sesuda ia memukul baru membujuk
teoposowu-sowu,beribu-ribu,- fo ono laa mbolasu,beribu-ribu o
suai,dapati,ku - laa moiso i rapi,saya dapati sedang tidur di kamar
sumua'i,yang dapat,ha,"inaeto hai, siapa yang dapat?"
posua,mendapat,no mokoeheeheno no -o doi i sala,dia senang sekali mendapat uang di jalan
uere,lain,- nggoli'ikaa meo andalo tu'o,lain juga menempuh hutan
"siu, sui-sui",burung-burung,- piia mora-maroa,burung-burung bunyi beramai-ramai
nkaako,berpindah,anopesuka-sukaakoosi,dia berpindah sedikit
"ukara, masukarai",susah,- i keni poiaha,susah tempat tinggal di sini
mesukokee,menanyakan,i ali haino,Ali menanyakan adiknya
pesuko,pertanyaan,ariroto leu mbowawo - no i hanu,"sudah mereka datang membawa pertanyaannya posuko bertanya, i wanooto wajarlah pertanyaannya"
pombosuko,pertanyaan mereka,aso - aro luale sani,serempak mereka bertanya kepada nona Sani
sumuko,menanya,- i anakoda,
sumela,kutu busuk,lagi - ine pu lua nggiro'o,ada kutu busuk bantal itu
sumumbele'ikee,potongkan,oi ene - worokono,pergi potongk lehernya
posusua,menyanyi,fudu oleo,
suki,patok,i bio mombasakee -,
lumee,semen,horo'pii laikamu ronga -,beri lantai rumahmu dengan semen
