kata_tolaki,arti_indonesia,kalimat_tolaki,kalimat_indonesia
"lete, nggolete-lete",mengkilat-kilat,no pombake sisi -,dia memakai cincin mengkilat-kilat
leu,datang,ano'amba - kumikii'i,kemudian datang melihatnya
mbeleu,datang,noro onggo -,mereka akan datang
"sini, leumina'u datang",ke sana,no'amba - metu'unggee nggirkor'o o hada,Ia baru datang ke sana meletakkan kera itu
anoleu,dia datang,mohina hae piha-mbiha - ndamahi o hada,barangkali besok kera datang ke mari lagi
akitoleu,kami akan datang,ninggiro wingi - mbenggalihi'i,nanti malam kami akan datang menggalinya
"lewe, melewe",lebar,kolembeno -,pinggulnya lebar
lia,melanggar,inge - sara iee nggo pinekasara,siapa yang melanggar adat akan dikasai (dihukum)
"lidi, wlidi",lidi,sapu -,sapu lidi
melidi,halus,tanggelarino - dahu,betisnya halus sakali
"lilimba, lumimba",mengidam,i tie -,Tie mengidam
molimbai,melangkahi,- nggalimbau,melangkahi parit
linda,linta,o linda (toono makekela linta darat (kiasan),
monvbelinde-linde,seakan-akan te nang,nggiro'o o tahi - laut it seakan-akan tenang,
"lingaa, molingaa bersih, tenang, ce",rah,lahuene - dahu,langit cera sekali
"linggu, anomolinggu",berlilit-lilit,mbendua penaono uni'ia lau-lau sungai berlilit-lilit jalannya hat nya menangsi terus,
arolokatii,mereka buka satu-satu,- otawa nggiro'o mereka buka satu-satu daun itu,
arolokatii,mereka mengangkat,otawa,mereka mengangkat daun
"lolaha, mololaha",mencari,lako - suisui,pergi mencari burung-burung (burung pipit)
nololaha,dicari,i bio - i batulu,Bio dicari Batulu
lumolaha'i,mencari,inanggu eulaano tetesia,ibuku mencari emasnya yang hilang
nilolahanggu,yang saya cari,ieto nggituo laa - itulah sementara saya cari,
aropololahaketo,mereka mencarikannya,- toono nggotamo,mereka mencarikannya orang yang ternama
lolai,plasenta,menggau ito no pelua rako anadalo iepo no tondari no,sesudah bayi lahir barulah ikut plasentanya
"lalawo, lumolawuko",memusingkan,o hapo laa - puenu ?,apa yang memusingkan nenekmu?
"lolesi, mololesi mengupas",kelapa,-,
loloha,seluruh,- no mosele babuno,seluruhnya bajunya basah
"lolosako, amcpelolosakoako dan",diambil kembali,ano 'ene metiuu -,dia pergi menyelam dan dia timbul kembali
"loloso, nololoso'i",ditambusi,- luwuakono,semunya ditembusi
loloi'a,lumoloi'a berlari,- nggituo meambo,berlari itu baik
mbeloloi'a,berlari,koa moruoruo aki - tiap pagi kami berlari,
lolu,bawah,no pe'asikeo i - nggasoro,dia menyelipkan di bawah kasur
lomba,lubang,keu pombaho te'aso wuku kaa aso -,kalau kautanam satu biji tiap lubang
melomba,melubang,- ari itondo laika,dia melubang dari kolong rumah
molomba,mengebor,- o wuta nggo meopolaha mina tana,mengebor tanah untuk mencari minyak tanah
pelombaano,pengeboran,laaito pinokolako - o wuta,pengeboran tanah sementara berlangsung
"londo, molondo-londo",terapungapung,ku suai laika -,saya da pati rumah terapung-apung
"longgo, pelonggo",berdiri,lakonggutc - lako monggaa,lalu saya berdiri pergi makan
"loro, moloro",licin,- dahu,sangat li cin
melosi,melompat,- ako ne wala. tekai,"dia melompat di pagar, lalu tersangkut"
malosiako,melompat,- i aiwoi,melompat di air
lotu,patah,i - ngguae,si patah tangan
lowa,madu,- ro laa leu mosauneno,madu mereka datang marah
nolowui,membosankan,nango basano niino - toono mobasa,cerita semacam ini membosankan pembaca
"lua, molua",luas,- wutamu,luas tanahmu
luale,gadis,iee - inuangi,dia gadis pingitan
luara,luar,padangga nggiro'o laa lako i -,pedagang itu sedang pergi ke luar
anopeluarako,dia keluar,- fe' eninggee amano,dia keluar menberi tahu bapaknya
luhu,pojok,i - nggamara,di pojok kamar
"luku, poluku-luku melipat-",lipat,la-,
lulaa,melayang,la'eto sumepa Sawerigadi ano -,ada bermain raga Sawerigading dan melayang
anolulaa,dia melayang,la'etu sumepa Saweringadi -,"sementara bermain raga, lalu melayang Sawerigading"
lulete,sinar yang begitu cepat kemudian hilang,sao bundauno -,"o kila, bila guntur diikuti sinar kilat"
"lulu, mombalulu",menggulung,ku laa - ambahi,sementara saya menggulung tikar
lulua,mendidih,- ito iwoi mukula,"""suah mendidih air panas"
lulusi,lulus,- udin,lulus ujian
kup,"kedinginan, melunggu-lunggu tertelungkup",no poturu - dia tidur tertelungkup,
melunggu-lunggu,berbaring,laakoto - pergilah berbaring,
"lupe, tekolupe",terlupa,merare dahu -,cepat sekali terlupa
"lutu, o lutu",lutut,- no haino mowaka,lutut adiknya luka
luwinggaluku,minyak kelapa,holeyikee kinaa nggiro'o ronga -,goreng nasi itu dengan minyak kelapa
maa,coba,- ponahunggonato,coba masakkan saya
maa,maka,- nggo lakoto tahorino leu,maka saya akan pergi sebelum dia datang
maa,ya,- inae po keno konoye iwono,"ya, siapa lagi kalau bukan dia"
maa,akan,- nggo lakoto tahorino lou,saya akan pergi sebelum dia datang
maa,jadi,- nggote embe,"jadi, bagaimana"
maa,silakan,- tondari'akuto aku lumaa,"silakan ikuti saya, saya terbang"
maanggote'opia,kapan,- no lako dumahu,kapankah dia pergi ber
maatu,nanti,- i wingi,nanti malam
madupa,jadi kenyataan,- tio sikolamu,sudah jadi kenyataan sekolahmu
magaribi,magrib,ari koto sambehea -,sudah kamu sembahyang magrib? '
"mahe, momahe",cantik,laa luale -,ada gadis cantik
mahi,ke mari,meleuro - onggo monggaa,mereka datang ke mari mau makan '
mahioi,adapun,- anano no samaturu hae,"adapun anaknya, ia setuju juga"
"mahioki, mahi-mahioki",sedapat-dapatnya,- ano lako moaalokona tiolu bokeo,sedapat-dapatnya dia pergi mengambilkan saya telur buaya
"mai, memai",bermain,kekula - iamo eusa aku,"kalau saya sedang bermain, jangan digantikan saya"
"maka, memaka",maka,nggiro'o anadalo - dahu,anak itu nakal sekali
makasara,kasar,- mbupu'u,paling kasar
malabi,lebih (baik),- meamboino marugi,lebih baiklah merugi
malati,belati,piso - monggaso mbuupuu,pisau belati amat tajam
"male, omale biri-biri",(penyakit),laa kumonoe -,dia diserang penyakit biri-biri
"mama, pomamaki",mengyuah,ano anopoirdikehero,dia mengunyah dan mereka pegangkan
